Organism,VEuPathDB Project,Genome Source,Genome Version/Assembly ID,Structural Annotation Version,Is Reference Strain,Contigs,Supercontigs,Chromosomes,Protein coding genes,Non Protein coding genes,Pseudogenes,User comments,Orthologs,GO terms,EC#,NCBI taxon ID,Organellar genome(s),Search Weight,Mega base Pairs,Structural Annotation Source,Species,Strain,ChIP chip,ESTs,Genes,Microarray,Popset Sequences,Proteomics
Acanthamoeba culbertsoni A1,AmoebaDB,GenBank,GCA_000826265.1,n/a,yes,0,72411,0,0,0,0,N/A,N/A,N/A,N/A,N/A,no,10,   55.54,GenBank,Acanthamoeba culbertsoni,A1,N/A,N/A,N/A,N/A,N/A,N/A
Anopheles darlingi Coari,VectorBase,INSDC,GCA_000211455.3,AdarC3.9,yes,0,2220,0,10556,449,0,N/A,10556,8244,968,N/A,yes,10,  136.95,VectorBase,Anopheles darlingi,Coari,N/A,N/A,11005,N/A,N/A,N/A
Angomonas deanei strain Cavalho ATCC PRA-265,TriTrypDB,INSDC,GCA_903995115.1,"Aug 18, 2020",yes,0,0,29,10365,147,0,N/A,10365,4131,609,N/A,no,10,   20.98,GenBank,Angomonas deanei,strain Cavalho ATCC PRA-265,N/A,N/A,10512,N/A,30519,N/A
Anopheles dirus WRAIR2,VectorBase,INSDC,GCA_000349145.1,AdirW1.9,yes,0,1266,0,12925,325,0,N/A,12924,8738,1325,N/A,no,10,  216.31,VectorBase,Anopheles dirus,WRAIR2,N/A,N/A,13250,N/A,N/A,N/A
Anopheles epiroticus Epiroticus2,VectorBase,INSDC,GCA_000349105.1,AepiE1.8,yes,0,2673,0,11956,366,0,N/A,11956,8633,1319,N/A,no,10,  223.49,VectorBase,Anopheles epiroticus,Epiroticus2,N/A,N/A,12322,N/A,N/A,N/A
Anopheles farauti FAR1,VectorBase,INSDC,GCA_000473445.2,AfarF2.7,yes,0,310,0,12932,361,0,N/A,12932,9061,1347,N/A,no,10,  183.10,VectorBase,Anopheles farauti,FAR1,N/A,N/A,13293,N/A,N/A,N/A
Arthrobotrys flagrans CBS H-5679,FungiDB,INSDC,GCA_004000055.1,"Jan 08, 2019",yes,0,14,0,9897,30,0,N/A,9897,6195,915,N/A,no,10,   36.65,GenBank,Arthrobotrys flagrans,CBS H-5679,N/A,N/A,9927,N/A,424,N/A
Aspergillus flavus NRRL3357 2020,FungiDB,INSDC,GCA_009017415.1,"Feb 02, 2021",no,0,0,8,13709,249,3,N/A,13709,8880,1271,N/A,no,10,   37.75,GenBank,Aspergillus flavus,NRRL3357 2020,N/A,4946,13958,N/A,61102,N/A
Anopheles funestus FUMOZ,VectorBase,INSDC,GCA_003951495.1,AfunF3.2,yes,0,1,3,13094,1082,0,2,13094,9452,1490,N/A,no,10,  210.99,VectorBase,Anopheles funestus,FUMOZ,N/A,661,14176,3371,N/A,N/A
Anopheles gambiae Pimperena,VectorBase,INSDC,GCA_000150785.1,AgamS2,no,0,13042,0,0,0,0,N/A,N/A,N/A,N/A,N/A,no,10,  236.40,VectorBase,Anopheles gambiae,Pimperena,N/A,N/A,N/A,N/A,N/A,N/A
Aphanomyces invadans NJM9701,FungiDB,GenBank,GCA_000520115.1,"Jan 15, 2014",yes,0,481,0,15248,168,0,3,15248,9228,1300,N/A,no,10,   71.40,GenBank,Aphanomyces invadans,NJM9701,N/A,N/A,15416,N/A,3843,N/A
Aspergillus lentulus strain IFM 54703,FungiDB,INSDC,GCA_001445615.1,"Nov 13, 2015",yes,0,19,0,9680,306,0,N/A,9680,7150,1399,N/A,no,10,   30.96,GenBank,Aspergillus lentulus,strain IFM 54703,N/A,N/A,9986,N/A,67561,N/A
Acanthamoeba lenticulata PD2S,AmoebaDB,GenBank,GCA_000826285.1,n/a,yes,0,79048,0,0,0,0,N/A,N/A,N/A,N/A,N/A,no,10,   66.03,GenBank,Acanthamoeba lenticulata,PD2S,N/A,N/A,N/A,N/A,N/A,N/A
Antonospora locustae CLX,MicrosporidiaDB,INSDC,GCA_007674295.1,N/A,yes,0,1,17,0,0,0,N/A,N/A,N/A,N/A,N/A,no,10,    3.17,N/A,Antonospora locustae,CLX,N/A,N/A,N/A,N/A,N/A,N/A
Acanthamoeba lugdunensis L3a,AmoebaDB,GenBank,GCA_000826425.1,n/a,yes,0,67459,0,0,0,0,N/A,N/A,N/A,N/A,N/A,no,10,   99.42,GenBank,Acanthamoeba lugdunensis,L3a,N/A,N/A,N/A,N/A,N/A,N/A
Anopheles maculatus maculatus3,VectorBase,INSDC,GCA_000473185.1,AmacM1.6,yes,0,47797,0,14858,177,0,N/A,14858,9327,1314,N/A,no,10,  141.89,VectorBase,Anopheles maculatus,maculatus3,N/A,N/A,15035,N/A,N/A,N/A
Acanthamoeba mauritaniensis 1652,AmoebaDB,GenBank,GCA_000826465.1,n/a,yes,0,67233,0,0,0,0,N/A,N/A,N/A,N/A,N/A,no,10,  106.84,GenBank,Acanthamoeba mauritaniensis,1652,N/A,N/A,N/A,N/A,N/A,N/A
Anopheles melas CM1001059_A,VectorBase,INSDC,GCA_000473525.2,AmelC2.7,yes,0,20229,0,15367,410,0,N/A,15367,10033,1444,N/A,no,10,  224.16,VectorBase,Anopheles melas,CM1001059_A,N/A,N/A,15777,N/A,N/A,N/A
Anopheles merus MAF,VectorBase,INSDC,GCA_000473845.2,AmerM2.10,yes,0,2027,0,13150,428,0,N/A,13149,8890,1318,N/A,no,10,  288.05,VectorBase,Anopheles merus,MAF,N/A,N/A,13578,N/A,N/A,N/A
Anopheles merus MAF 2021,VectorBase,INSDC,GCF_017562075.2,"Jun 02, 2021",no,0,1322,5,13794,2405,411,N/A,13794,9406,1089,N/A,yes,10,  294.38,RefSeq,Anopheles merus,MAF 2021,N/A,N/A,16199,N/A,N/A,N/A
Anopheles minimus MINIMUS1,VectorBase,INSDC,GCA_000349025.1,AminM1.9,yes,0,678,0,12820,328,0,N/A,12820,8654,1323,N/A,no,10,  201.79,VectorBase,Anopheles minimus,MINIMUS1,N/A,N/A,13148,N/A,N/A,N/A
Apiotrichum montevideense JCM 9937,FungiDB,INSDC,GCA_001598995.1,N/A,yes,0,61,0,0,0,0,N/A,N/A,N/A,N/A,N/A,no,10,   24.87,N/A,Apiotrichum montevideense,JCM 9937,N/A,N/A,N/A,N/A,N/A,N/A
Amauroascus mutatus isolate UAMH 3576,FungiDB,GenBank,GCA_001430935.1,n/a,yes,3075,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,no,10,   30.38,n/a,Amauroascus mutatus,isolate UAMH 3576,N/A,N/A,N/A,N/A,N/A,N/A
Aspergillus niger strain LDM3,FungiDB,INSDC,GCA_009812365.1,N/A,no,0,14,0,0,0,0,N/A,N/A,N/A,N/A,N/A,no,10,   35.27,N/A,Aspergillus niger,strain LDM3,N/A,N/A,N/A,N/A,N/A,N/A
Aspergillus niger strain N402 (ATCC64974),FungiDB,GenBank,GCA_900248155.1,"Jan 26, 2018",no,19,0,0,11187,0,0,N/A,11187,8424,1544,N/A,no,10,   35.57,GenBank,Aspergillus niger,strain N402 (ATCC64974),N/A,5630,11187,N/A,47695,N/A
Amauroascus niger isolate UAMH 3544,FungiDB,GenBank,GCA_001430945.1,n/a,yes,3481,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,no,10,   36.72,n/a,Amauroascus niger,isolate UAMH 3544,N/A,N/A,N/A,N/A,N/A,N/A
Acanthamoeba palestinensis Reich,AmoebaDB,GenBank,GCA_000826305.1,n/a,yes,0,26188,0,0,0,0,N/A,N/A,N/A,N/A,N/A,no,10,   75.32,GenBank,Acanthamoeba palestinensis,Reich,N/A,N/A,N/A,N/A,N/A,N/A
Anopheles quadriannulatus SANGWE,VectorBase,INSDC,GCA_000349065.1,AquaS1.13,yes,0,2823,0,13414,404,0,N/A,13414,9369,1357,N/A,no,10,  283.83,VectorBase,Anopheles quadriannulatus,SANGWE,N/A,N/A,13818,N/A,N/A,N/A
Acanthamoeba quina Vil3,AmoebaDB,GenBank,GCA_000826445.1,n/a,yes,0,60490,0,0,0,0,N/A,N/A,N/A,N/A,N/A,no,10,   83.59,GenBank,Acanthamoeba quina,Vil3,N/A,N/A,N/A,N/A,N/A,N/A
Acanthamoeba rhysodes Singh,AmoebaDB,GenBank,GCA_000826385.1,n/a,yes,0,62836,0,0,0,0,N/A,N/A,N/A,N/A,N/A,no,10,   75.82,GenBank,Acanthamoeba rhysodes,Singh,N/A,N/A,N/A,N/A,N/A,N/A
Anopheles sinensis China,VectorBase,INSDC,GCA_000441895.2,AsinC2.2,no,0,9592,0,19352,342,0,N/A,19352,9834,764,N/A,no,10,  220.78,VectorBase,Anopheles sinensis,China,N/A,N/A,19694,N/A,N/A,N/A
Anopheles sinensis SINENSIS,VectorBase,INSDC,GCA_000472065.2,AsinS2.6,yes,0,10448,0,12905,301,0,N/A,12905,8461,757,N/A,no,10,  375.76,VectorBase,Anopheles sinensis,SINENSIS,N/A,N/A,13206,N/A,N/A,N/A
Anopheles stephensi Indian,VectorBase,INSDC,GCA_000300775.2,AsteI2.3,no,0,23371,0,11789,400,0,N/A,11789,8395,1306,N/A,no,10,  221.32,VectorBase,Anopheles stephensi,Indian,N/A,1694,12189,N/A,N/A,N/A
Anopheles stephensi SDA-500,VectorBase,INSDC,GCA_000349045.1,AsteS1.8,yes,0,1110,0,13336,275,0,N/A,13336,8677,1352,N/A,no,10,  225.37,VectorBase,Anopheles stephensi,SDA-500,N/A,2203,13611,N/A,N/A,N/A
Anopheles stephensi UCISS2018,VectorBase,INSDC,GCF_013141755.1,"Sep 08, 2020",no,0,491,3,12705,2726,207,N/A,12705,8484,1131,N/A,yes,10,  243.48,RefSeq,Anopheles stephensi,UCISS2018,N/A,3234,15431,N/A,N/A,N/A
Aspergillus tanneri NIH1004,FungiDB,INSDC,GCA_004798825.1,"Apr 17, 2019",yes,0,1715,0,13557,33,33,N/A,13557,7887,1015,N/A,no,10,   36.54,GenBank,Aspergillus tanneri,NIH1004,N/A,N/A,13590,N/A,69201,N/A
Aspergillus thermomutatus strain HMR AF 39,FungiDB,INSDC,GCA_002237265.2,"Sep 12, 2018",yes,0,647,0,9702,0,0,N/A,9702,7042,1374,N/A,no,10,   30.95,GenBank,Aspergillus thermomutatus,strain HMR AF 39,N/A,N/A,9702,N/A,46086,N/A
Acanthamoeba triangularis SH621,AmoebaDB,GenBank,GCA_000826325.1,n/a,yes,0,56742,0,0,0,0,N/A,N/A,N/A,N/A,N/A,no,10,  103.48,GenBank,Acanthamoeba triangularis,SH621,N/A,N/A,N/A,N/A,N/A,N/A
Apophysomyces variabilis NCCPF 102052,FungiDB,INSDC,GCA_002749535.1,N/A,yes,0,411,0,0,0,0,N/A,N/A,N/A,N/A,N/A,no,10,   39.32,N/A,Apophysomyces variabilis,NCCPF 102052,N/A,N/A,N/A,N/A,N/A,N/A
Blechomonas ayalai B08-376,TriTrypDB,YurchenkoLab,"Jan 18, 2017","Jan 18, 2017",yes,546,0,0,8042,84,0,2,8042,3173,N/A,N/A,no,10,   21.55,YurchenkoLab,Blechomonas ayalai,B08-376,N/A,N/A,8126,N/A,33373,N/A
Beauveria bassiana HN6,FungiDB,INSDC,GCA_014607475.1,N/A,yes,0,0,12,0,0,0,N/A,N/A,N/A,N/A,N/A,no,10,   37.13,N/A,Beauveria bassiana,HN6,N/A,N/A,N/A,N/A,N/A,N/A
Besnoitia besnoiti strain Bb-Ger1,ToxoDB,GenBank,GCA_002563875.1,"Oct 18, 2017",yes,172,0,13,8224,326,0,1,8224,5080,711,N/A,yes,10,   58.85,GenBank,Besnoitia besnoiti,strain Bb-Ger1,N/A,N/A,8550,N/A,5067,N/A
Babesia bigemina strain BOND,PiroplasmaDB,GenBank,GCA_000723445.1,"Jan 22, 2015",yes,0,478,5,5079,11,0,9,5079,2937,358,N/A,no,10,   13.84,GenBank,Babesia bigemina,strain BOND,N/A,N/A,5090,N/A,5819,N/A
Byssoonygena ceratinophila isolate UAMH 5669,FungiDB,GenBank,GCA_001430925.1,n/a,yes,4851,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,no,10,   27.45,n/a,Byssoonygena ceratinophila,isolate UAMH 5669,N/A,N/A,N/A,N/A,N/A,N/A
Babesia divergens strain 1802A,PiroplasmaDB,GenBank,GCA_018398725.1,"Oct 31, 2021",yes,0,79,0,4129,58,8,10,4129,1886,2,N/A,yes,10,    9.58,Sanger,Babesia divergens,strain 1802A,N/A,N/A,4187,N/A,6469,N/A
Babesia divergens strain Rouen 1987,PiroplasmaDB,GenBank,GCA_001077455.2,n/a,no,0,141,0,0,0,0,N/A,N/A,N/A,N/A,N/A,no,10,    9.73,n/a,Babesia divergens,strain Rouen 1987,N/A,N/A,N/A,N/A,N/A,N/A
Biomphalaria glabrata BB02,VectorBase,INSDC,GCA_000457365.1,BglaB1.7,yes,0,331400,0,25561,6424,174,N/A,25550,16656,1233,N/A,yes,10,  916.39,VectorBase,Biomphalaria glabrata,BB02,N/A,7057,31985,10376,N/A,N/A
Bremia lactucae strain SF5,FungiDB,INSDC,GCA_004359215.1,"Mar 19, 2019",yes,0,121,0,9767,0,0,N/A,9767,5657,740,N/A,no,10,  115.90,GenBank,Bremia lactucae,strain SF5,N/A,N/A,9767,N/A,263,N/A
Babesia microti strain ATCC 30222,PiroplasmaDB,INSDC,GCA_001650055.1,N/A,no,234,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,no,10,    6.63,N/A,Babesia microti,strain ATCC 30222,N/A,N/A,N/A,N/A,N/A,N/A
Babesia microti strain ATCC PRA-99,PiroplasmaDB,GenBank,GCA_001650065.1,n/a,no,82,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,no,10,    6.35,n/a,Babesia microti,strain ATCC PRA-99,N/A,N/A,N/A,N/A,N/A,N/A
Babesia microti strain GI,PiroplasmaDB,INSDC,GCA_001650105.1,N/A,no,140,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,no,10,    6.88,N/A,Babesia microti,strain GI,N/A,N/A,N/A,N/A,N/A,N/A
Babesia microti strain GreenwichYale_Lab_strain_1,PiroplasmaDB,INSDC,GCA_001650075.1,N/A,no,250,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,no,10,    6.80,N/A,Babesia microti,strain GreenwichYale_Lab_strain_1,N/A,N/A,N/A,N/A,N/A,N/A
Babesia microti Nan_Hs_2011_N11-50,PiroplasmaDB,INSDC,GCA_001650145.1,N/A,no,131,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,no,10,    6.36,N/A,Babesia microti,Nan_Hs_2011_N11-50,N/A,N/A,N/A,N/A,N/A,N/A
Babesia microti strain Naushon,PiroplasmaDB,INSDC,GCA_001650135.1,N/A,no,131,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,no,10,    6.44,N/A,Babesia microti,strain Naushon,N/A,N/A,N/A,N/A,N/A,N/A
Babesia ovata strain Miyake,PiroplasmaDB,GenBank,GCA_002897235.1,"Dec 16, 2017",yes,91,0,0,5031,77,0,6,5031,2841,334,N/A,no,10,   14.45,GenBank,Babesia ovata,strain Miyake,N/A,N/A,5108,N/A,9368,N/A
Blastomyces percursus strain EI222,FungiDB,INSDC,GCA_001883805.1,"Nov 18, 2016",yes,0,3868,0,10285,99,0,N/A,10285,5746,873,N/A,no,10,   32.31,GenBank,Blastomyces percursus,strain EI222,N/A,N/A,10384,N/A,726,N/A
Batrachochytrium salamandrivorans BS,FungiDB,INSDC,GCA_002006685.1,"Feb 24, 2017",yes,0,5358,0,10135,51,2,N/A,10135,6139,885,N/A,no,10,   32.64,GenBank,Batrachochytrium salamandrivorans,BS,N/A,N/A,10186,N/A,40,N/A
Bodo saltans strain Lake Konstanz,TriTrypDB,GenBank,GCA_001460835.1,"Nov 19, 2015",yes,0,2256,0,17779,443,434,6,17777,8960,658,N/A,no,10,   39.86,GenBank,Bodo saltans,strain Lake Konstanz,N/A,55,18222,N/A,14,N/A
Babesia sp. Xinjiang Xinjiang,PiroplasmaDB,GenBank,GCA_002095265.1,"Apr. 18, 2017",yes,0,215,0,3066,41,0,N/A,3066,1993,331,N/A,no,10,    8.45,GenBank,Babesia sp. Xinjiang,Xinjiang,N/A,N/A,3107,N/A,4431,N/A
Bos taurus breed Hereford,HostDB,Ensembl,GCA_002263795.2,ARS-UCD1.2,yes,0,2180,30,21880,5727,492,N/A,21861,19974,1344,N/A,yes,10, 2715.85,Ensembl,Bos taurus,breed Hereford,N/A,N/A,27607,N/A,N/A,N/A
Candida albicans SC5314_B,FungiDB,CGD,A22-s07-m01-r59,A22-s07-m01-r59,no,0,0,8,6200,215,9,N/A,6191,3585,2,N/A,no,10,   14.28,CGD,Candida albicans,SC5314_B,N/A,21,6415,N/A,20646,N/A
Cryptosporidium andersoni isolate 30847,CryptoDB,GenBank,GCA_001865355.1,"Nov 03, 2016",yes,135,0,0,3876,28,28,N/A,3876,2567,379,N/A,no,10,    9.09,GenBank,Cryptosporidium andersoni,isolate 30847,N/A,N/A,3904,N/A,7445,N/A
Candida auris strain 6684,FungiDB,INSDC,GCA_001189475.1,"Aug 04, 2017",no,0,99,0,7461,840,8,N/A,7461,3953,821,N/A,no,10,   12.50,GenBank,[Candida] auris,6684,N/A,N/A,8301,N/A,18300,N/A
Candida auris strain B11220,FungiDB,INSDC,GCA_003013715.2,"Sep 10, 2019",no,0,0,7,5327,167,0,N/A,5327,4174,852,N/A,no,10,   12.25,GenBank,[Candida] auris,B11220,N/A,N/A,5494,N/A,31193,N/A
Candida auris strain B11221,FungiDB,INSDC,GCA_002775015.1,"Jul 02, 2019",no,0,20,0,5521,194,3,N/A,5521,4224,545,N/A,no,10,   12.74,GenBank,[Candida] auris,B11221,N/A,N/A,5715,N/A,25007,N/A
Candida auris strain B11243,FungiDB,INSDC,GCA_003014415.1,"Mar 23, 2018",no,0,238,0,5437,158,3,N/A,5437,3807,541,N/A,no,10,   12.35,GenBank,[Candida] auris,B11243,N/A,N/A,5595,N/A,23502,N/A
Candida auris strain B11245,FungiDB,INSDC,GCA_008275145.1,"Sep 05, 2019",no,0,0,7,5506,169,0,N/A,5506,3682,533,N/A,no,10,   12.43,GenBank,[Candida] auris,B11245,N/A,N/A,5675,N/A,27613,N/A
Candida auris strain B8441,FungiDB,GenBank,GCA_002759435.2,"Nov. 15, 2017",yes,0,15,0,5417,167,0,3,5417,4680,870,N/A,no,10,   12.37,GenBank,[Candida] auris,B8441,N/A,N/A,5584,N/A,23475,N/A
Cryptosporidium baileyi TAMU-09Q1,CryptoDB,GenBank,GCA_001593455.1,n/a,yes,153,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,no,10,    8.50,n/a,Cryptosporidium baileyi,TAMU-09Q1,N/A,N/A,N/A,N/A,N/A,N/A
Cryptosporidium bovis isolate 45015,CryptoDB,INSDC,GCA_009768925.2,"Nov 10, 2021",yes,0,55,0,3723,0,0,N/A,3723,1899,N/A,N/A,no,10,    9.11,GenBank,Cryptosporidium bovis,isolate 45015,N/A,N/A,3723,N/A,8493,N/A
Cladophialophora carrionii KSF,FungiDB,GenBank,GCA_001700775.1,"Aug 08, 2016",yes,22,0,0,11181,59,0,7,11181,7342,1266,N/A,yes,10,   29.81,GenBank,Cladophialophora carrionii,KSF,N/A,N/A,11240,N/A,159,N/A
Cyclospora cayetanensis strain CHN_HEN01,ToxoDB,GenBank,GCA_000769155.2,"Sep 22, 2016",yes,2297,0,0,7153,302,0,6,7153,3528,362,N/A,no,10,   44.03,GenBank,Cyclospora cayetanensis,strain CHN_HEN01,N/A,N/A,7455,N/A,470,N/A
Cyclospora cayetanensis isolate NF1_C8,ToxoDB,GenBank,GCF_002999335.1,"Sep 06, 2018",no,738,0,0,5825,310,0,N/A,5825,2919,353,N/A,yes,10,   44.40,RefSeq,Cyclospora cayetanensis,isolate NF1_C8,N/A,N/A,6135,N/A,4288,N/A
Cryptococcus cf. gattii MF34,FungiDB,INSDC,GCA_009650685.1,"Nov 14, 2019",yes,0,2,13,6207,114,58,N/A,6207,3903,2,N/A,no,10,   17.89,GenBank,Cryptococcus cf. gattii,MF34,N/A,N/A,6321,N/A,162,N/A
Coprinopsis cinerea #326,FungiDB,INSDC,GCA_016772295.1,"Jan 25, 2021",no,0,31,0,15012,238,0,N/A,15012,6137,8,N/A,no,10,   38.70,GenBank,Coprinopsis cinerea,#326,N/A,4952,15250,N/A,245,N/A
Cucumispora dikerogammari Dv6,MicrosporidiaDB,INSDC,GCA_014805705.1,"Sep 30, 2020",yes,0,7783,0,4599,0,0,N/A,4599,1375,N/A,N/A,no,10,   32.41,GenBank,Cucumispora dikerogammari,Dv6,N/A,N/A,4599,N/A,25,N/A
Candida duobushaemulonis strain B09383,FungiDB,GenBank,GCA_002926085.1,"May 01, 2018",yes,7,0,0,5173,156,0,N/A,5173,4025,852,N/A,yes,10,   12.58,GenBank,[Candida] duobushaemulonis,B09383,N/A,N/A,5329,N/A,8574,N/A
Cyberlindnera fabianii 65,FungiDB,INSDC,GCA_001983305.1,"Feb 02, 2017",yes,0,25,0,5509,0,0,N/A,5509,4380,724,N/A,no,10,   12.19,GenBank,Cyberlindnera fabianii,65,N/A,N/A,5509,N/A,126,N/A
Crithidia fasciculata strain Cf-Cl,TriTrypDB,GenBank,GCA_000331325.2,"Jun 01, 2015",yes,0,0,30,9055,564,434,29,9055,4578,52,N/A,no,10,   32.63,BeverleyLab,Crithidia fasciculata,strain Cf-Cl,N/A,N/A,9619,N/A,37716,N/A
Cytauxzoon felis strain Winnie,PiroplasmaDB,GenBank,N/A,"Jan 20, 2015",yes,361,0,0,4323,66,12,N/A,4317,1637,N/A,N/A,no,10,    9.11,BirdLab,Cytauxzoon felis,strain Winnie,N/A,N/A,4389,N/A,6674,N/A
Candida glabrata BG2,FungiDB,INSDC,GCA_014217725.1,"Aug 17, 2020",no,0,0,13,5220,261,14,N/A,5220,4172,752,N/A,no,10,   12.70,GenBank,[Candida] glabrata,BG2,N/A,9,5481,N/A,87932,N/A
Candida haemulonis B11899,FungiDB,GenBank,GCA_002926055.1,"May 01, 2018",yes,11,0,0,5249,160,0,N/A,5249,4092,852,N/A,yes,10,   13.31,GenBank,[Candida] haemuloni,B11899,N/A,N/A,5409,N/A,8896,N/A
Cryptosporidium hominis isolate 30976,CryptoDB,GenBank,GCA_001483515.1,"Nov 16, 2017",no,53,0,0,3948,46,1,N/A,3948,2267,198,N/A,no,10,    9.06,KissingerLab,Cryptosporidium hominis,isolate 30976,N/A,N/A,3994,N/A,12524,N/A
Cryptosporidium hominis 37999,CryptoDB,GenBank,GCA_000804495.1,n/a,no,78,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,no,10,    9.05,n/a,Cryptosporidium hominis,37999,N/A,N/A,N/A,N/A,N/A,N/A
Cryptosporidium hominis isolate TU502_2012,CryptoDB,GenBank,GCA_001593465.1,"Jan 06, 2017",no,119,0,0,3745,52,0,1,3745,2458,775,N/A,no,10,    9.11,GenBank,Cryptosporidium hominis,isolate TU502_2012,N/A,N/A,3797,N/A,12325,N/A
Cryptosporidium hominis UKH1,CryptoDB,GenBank,GCA_001593475.1,n/a,no,156,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,no,10,    9.14,n/a,Cryptosporidium hominis,UKH1,N/A,N/A,N/A,N/A,N/A,N/A
Cryptosporidium hominis UdeA01,CryptoDB,GenBank,GCA_002223825.1,"Dec 3, 2015",no,0,0,8,3817,46,1,8,3817,2427,361,N/A,no,10,    9.04,GenBank,Cryptosporidium hominis,UdeA01,N/A,N/A,3863,N/A,12185,N/A
Cladophialophora immunda strain CBS 83496,FungiDB,GenBank,GCA_000835495.1,"Jun 16, 2016",yes,0,277,0,12830,49,0,N/A,12830,8577,1354,N/A,no,10,   43.03,GenBank,Cladophialophora immunda,strain CBS 83496,N/A,N/A,12879,N/A,142,N/A
Coccidioides immitis WA_211,FungiDB,INSDC,GCA_004115165.2,2019-07-01,no,0,62,0,7815,121,0,N/A,7815,5516,882,N/A,no,10,   27.47,GenBank,Coccidioides immitis,WA_211,N/A,5992,7936,N/A,6965,N/A
Cimex lectularius Harlan,VectorBase,INSDC,GCA_000648675.1,ClecH1.3,yes,681,721,0,14083,1209,2,N/A,14083,8445,1097,N/A,no,10,  650.48,N/A,Cimex lectularius,Harlan,N/A,1842,15292,N/A,N/A,N/A
Canis lupus familiaris isolate SID07034,HostDB,INSDC,GCA_014441545.1,ROS_Cfam_1.0,yes,0,336,40,20567,10554,610,N/A,20500,17313,54,N/A,no,10, 2396.86,GenBank,Canis lupus,familiaris isolate SID07034,N/A,N/A,31121,N/A,N/A,N/A
Cryptosporidium meleagridis strain UKMEL1,CryptoDB,GenBank,GCA_001593445.1,"Feb 02, 2018",yes,57,0,0,3753,53,0,N/A,3753,2537,367,N/A,no,10,    8.97,GenBank,Cryptosporidium meleagridis,strain UKMEL1,N/A,N/A,3806,N/A,18843,N/A
Candida metapsilosis BP57,FungiDB,INSDC,GCA_017655625.1,"Apr 01, 2021",yes,0,9,0,5726,17,17,N/A,5726,3885,N/A,N/A,no,10,   13.09,GenBank,Candida metapsilosis,BP57,N/A,N/A,5743,N/A,10939,N/A
Cordyceps militaris ATCC 34164,FungiDB,INSDC,GCA_008080495.1,"Nov 30, 2017",yes,0,0,7,9287,75,0,N/A,9287,6754,927,N/A,no,10,   33.62,GenBank,Cordyceps militaris,ATCC 34164,N/A,800,9362,N/A,8243,N/A
Cryptococcus neoformans var. grubii H99 2018,FungiDB,INSDC,GCA_003011985.1,N/A,no,0,14,0,0,0,0,N/A,N/A,N/A,N/A,N/A,no,10,   18.93,N/A,Cryptococcus neoformans,var. grubii H99 2018,N/A,N/A,N/A,N/A,N/A,N/A
Cryptococcus neoformans var. grubii KN99,FungiDB,GenBank,GCA_002216725.1,"Nov 8, 2018",no,0,0,14,6967,0,0,N/A,6967,4159,575,N/A,yes,10,   18.91,GenBank,Cryptococcus neoformans,var. grubii KN99,N/A,5382,6967,N/A,79,N/A
Cryptosporidium parvum IOWA-ATCC,CryptoDB,GenBank,GCA_015245375.1,"Sep 27, 2021",no,0,0,8,3892,532,1,1,3892,2530,297,N/A,no,10,    9.12,GenBank,Cryptosporidium parvum,IOWA-ATCC,N/A,2161,4424,N/A,19001,N/A
Cavia porcellus 2N,HostDB,INSDC,GCA_000151735.1,Cavpor3.0,yes,0,3143,0,18095,8760,242,N/A,18095,16579,176,N/A,yes,10, 2723.22,GenBank,Cavia porcellus,2N,N/A,N/A,26855,N/A,N/A,N/A
Candida pseudohaemulonii strain B12108,FungiDB,INSDC,GCA_003013735.1,"Mar 03, 2018",yes,0,36,0,5134,151,0,N/A,5134,4005,843,N/A,no,10,   12.59,GenBank,[Candida] pseudohaemulonis,B12108,N/A,N/A,5285,N/A,23601,N/A
Chrysosporium queenslandicum isolate CBS 280.77,FungiDB,GenBank,GCA_001430955.1,n/a,yes,2724,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,no,10,   32.34,n/a,Chrysosporium queenslandicum,isolate CBS 280.77,N/A,N/A,N/A,N/A,N/A,N/A
Culex quinquefasciatus JHB 2020,VectorBase,INSDC,GCA_015732765.1,"Dec 04, 2020",yes,53,0,3,15094,3388,622,N/A,15094,9641,43,N/A,yes,10,  573.23,GenBank,Culex quinquefasciatus,JHB 2020,N/A,5441,18482,178,N/A,N/A
Culex quinquefasciatus Johannesburg,VectorBase,INSDC,GCA_000209185.1,CpipJ2.5,no,0,3171,0,18965,828,0,N/A,18965,13310,1036,N/A,yes,10,  579.06,VectorBase,Culex quinquefasciatus,Johannesburg,N/A,4801,19793,N/A,N/A,N/A
